Year,Country / territory of asylum/residence,Origin,Population type,Value
1994,Spain,Colombia,Refugees (incl. refugee-like situations),43
1994,Sweden,Colombia,Refugees (incl. refugee-like situations),686
1994,United Kingdom,Colombia,Refugees (incl. refugee-like situations),156
1994,United States of America,Colombia,Refugees (incl. refugee-like situations),140
1994,Uruguay,Colombia,Refugees (incl. refugee-like situations),18
1994,Uruguay,Colombia,Returned refugees,3
1994,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),14
1995,Brazil,Colombia,Returned refugees,3
1995,Canada,Colombia,Refugees (incl. refugee-like situations),112
1995,Chile,Colombia,Refugees (incl. refugee-like situations),12
1995,Costa Rica,Colombia,Refugees (incl. refugee-like situations),34
1995,Ecuador,Colombia,Refugees (incl. refugee-like situations),92
1995,France,Colombia,Refugees (incl. refugee-like situations),352
1995,Guatemala,Colombia,Refugees (incl. refugee-like situations),1
1995,Italy,Colombia,Refugees (incl. refugee-like situations),4
1995,Mexico,Colombia,Refugees (incl. refugee-like situations),88
1995,Netherlands,Colombia,Refugees (incl. refugee-like situations),13
1995,Spain,Colombia,Refugees (incl. refugee-like situations),45
1995,Sweden,Colombia,Refugees (incl. refugee-like situations),711
1995,United Kingdom,Colombia,Refugees (incl. refugee-like situations),159
1995,United States of America,Colombia,Refugees (incl. refugee-like situations),250
1995,Uruguay,Colombia,Refugees (incl. refugee-like situations),15
1995,Uruguay,Colombia,Returned refugees,1
1995,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),14
1996,Argentina,Colombia,Returned refugees,1
1996,Australia,Colombia,Refugees (incl. refugee-like situations),13
1996,Canada,Colombia,Refugees (incl. refugee-like situations),132
1996,Chile,Colombia,Refugees (incl. refugee-like situations),12
1996,Chile,Colombia,Returned refugees,1
1996,Costa Rica,Colombia,Refugees (incl. refugee-like situations),52
1996,Ecuador,Colombia,Refugees (incl. refugee-like situations),93
1996,France,Colombia,Refugees (incl. refugee-like situations),324
1996,Guatemala,Colombia,Refugees (incl. refugee-like situations),1
1996,Italy,Colombia,Refugees (incl. refugee-like situations),4
1996,Mexico,Colombia,Refugees (incl. refugee-like situations),95
1996,Mexico,Colombia,Returned refugees,2
1996,Netherlands,Colombia,Refugees (incl. refugee-like situations),16
1996,Panama,Colombia,Refugees (incl. refugee-like situations),7
1996,Spain,Colombia,Refugees (incl. refugee-like situations),60
1996,Sweden,Colombia,Refugees (incl. refugee-like situations),749
1996,United Kingdom,Colombia,Refugees (incl. refugee-like situations),168
1996,United States of America,Colombia,Refugees (incl. refugee-like situations),407
1996,Uruguay,Colombia,Refugees (incl. refugee-like situations),17
1996,Uruguay,Colombia,Returned refugees,3
1996,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),18
1997,Australia,Colombia,Refugees (incl. refugee-like situations),37
1997,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),1
1997,Canada,Colombia,Refugees (incl. refugee-like situations),151
1997,Chile,Colombia,Refugees (incl. refugee-like situations),11
1997,Ecuador,Colombia,Refugees (incl. refugee-like situations),104
1997,France,Colombia,Refugees (incl. refugee-like situations),318
1997,Guatemala,Colombia,Refugees (incl. refugee-like situations),1
1997,Italy,Colombia,Refugees (incl. refugee-like situations),4
1997,Mexico,Colombia,Refugees (incl. refugee-like situations),82
1997,Netherlands,Colombia,Refugees (incl. refugee-like situations),15
1997,Norway,Colombia,Refugees (incl. refugee-like situations),43
1997,Panama,Colombia,Refugees (incl. refugee-like situations),10
1997,Spain,Colombia,Refugees (incl. refugee-like situations),73
1997,Sweden,Colombia,Refugees (incl. refugee-like situations),800
1997,United Kingdom,Colombia,Refugees (incl. refugee-like situations),203
1997,United States of America,Colombia,Refugees (incl. refugee-like situations),488
1997,Uruguay,Colombia,Refugees (incl. refugee-like situations),19
1997,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),17
1998,Argentina,Colombia,Refugees (incl. refugee-like situations),22
1998,Australia,Colombia,Refugees (incl. refugee-like situations),94
1998,Austria,Colombia,Refugees (incl. refugee-like situations),13
1998,Belgium,Colombia,Refugees (incl. refugee-like situations),71
1998,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),5
1998,Brazil,Colombia,Refugees (incl. refugee-like situations),4
1998,Canada,Colombia,Refugees (incl. refugee-like situations),235
1998,Chile,Colombia,Refugees (incl. refugee-like situations),6
1998,Denmark,Colombia,Refugees (incl. refugee-like situations),2
1998,Ecuador,Colombia,Refugees (incl. refugee-like situations),123
1998,Ecuador,Colombia,Returned refugees,1
1998,France,Colombia,Refugees (incl. refugee-like situations),295
1998,Italy,Colombia,Refugees (incl. refugee-like situations),5
1998,Mexico,Colombia,Refugees (incl. refugee-like situations),50
1998,Netherlands,Colombia,Refugees (incl. refugee-like situations),15
1998,Norway,Colombia,Refugees (incl. refugee-like situations),44
1998,Panama,Colombia,Refugees (incl. refugee-like situations),564
1998,Peru,Colombia,Refugees (incl. refugee-like situations),1
1998,Spain,Colombia,Refugees (incl. refugee-like situations),85
1998,Sweden,Colombia,Refugees (incl. refugee-like situations),773
1998,Switzerland,Colombia,Refugees (incl. refugee-like situations),103
1998,United Kingdom,Colombia,Refugees (incl. refugee-like situations),405
1998,United States of America,Colombia,Refugees (incl. refugee-like situations),594
1998,Uruguay,Colombia,Refugees (incl. refugee-like situations),9
1998,Uruguay,Colombia,Returned refugees,1
1998,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),20
1999,Argentina,Colombia,Refugees (incl. refugee-like situations),22
1999,Australia,Colombia,Refugees (incl. refugee-like situations),137
1999,Austria,Colombia,Refugees (incl. refugee-like situations),18
1999,Belgium,Colombia,Refugees (incl. refugee-like situations),77
1999,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),4
1999,Brazil,Colombia,Refugees (incl. refugee-like situations),4
1999,Canada,Colombia,Refugees (incl. refugee-like situations),450
1999,Chile,Colombia,Refugees (incl. refugee-like situations),7
1999,Costa Rica,Colombia,Refugees (incl. refugee-like situations),64
1999,Costa Rica,Colombia,Returned refugees,7
1999,Denmark,Colombia,Refugees (incl. refugee-like situations),2
1999,Ecuador,Colombia,Refugees (incl. refugee-like situations),159
1999,Ecuador,Colombia,Returned refugees,1
1999,Ecuador,Colombia,Others of concern,1200
1999,France,Colombia,Refugees (incl. refugee-like situations),265
1999,Guatemala,Colombia,Refugees (incl. refugee-like situations),1
1999,Israel,Colombia,Refugees (incl. refugee-like situations),1
1999,Italy,Colombia,Refugees (incl. refugee-like situations),11
1999,Mexico,Colombia,Refugees (incl. refugee-like situations),53
1999,Netherlands,Colombia,Refugees (incl. refugee-like situations),17
1999,Norway,Colombia,Refugees (incl. refugee-like situations),94
1999,Panama,Colombia,Refugees (incl. refugee-like situations),733
1999,Panama,Colombia,Returned refugees,39
1999,Peru,Colombia,Refugees (incl. refugee-like situations),4
1999,Spain,Colombia,Refugees (incl. refugee-like situations),160
1999,Sweden,Colombia,Refugees (incl. refugee-like situations),711
1999,Switzerland,Colombia,Refugees (incl. refugee-like situations),122
1999,United Kingdom,Colombia,Refugees (incl. refugee-like situations),385
1999,United States of America,Colombia,Refugees (incl. refugee-like situations),852
1999,Uruguay,Colombia,Refugees (incl. refugee-like situations),10
1999,Uruguay,Colombia,Returned refugees,1
1999,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),50
1999,Venezuela (Bolivarian Republic of),Colombia,Returned refugees,1
2000,Argentina,Colombia,Refugees (incl. refugee-like situations),19
2000,Argentina,Colombia,Asylum-seekers,31
2000,Australia,Colombia,Refugees (incl. refugee-like situations),185
2000,Australia,Colombia,Asylum-seekers,193
2000,Austria,Colombia,Refugees (incl. refugee-like situations),28
2000,Belgium,Colombia,Refugees (incl. refugee-like situations),82
2000,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),3
2000,Brazil,Colombia,Refugees (incl. refugee-like situations),15
2000,Brazil,Colombia,Asylum-seekers,5
2000,Bulgaria,Colombia,Asylum-seekers,1
2000,Canada,Colombia,Refugees (incl. refugee-like situations),1077
2000,Canada,Colombia,Asylum-seekers,927
2000,Chile,Colombia,Refugees (incl. refugee-like situations),27
2000,Chile,Colombia,Asylum-seekers,18
2000,Chile,Colombia,Returned refugees,6
2000,Colombia,Colombia,Internally displaced persons,525000
2000,Costa Rica,Colombia,Refugees (incl. refugee-like situations),515
2000,Costa Rica,Colombia,Asylum-seekers,954
2000,Costa Rica,Colombia,Returned refugees,8
2000,Cuba,Colombia,Asylum-seekers,1
2000,Denmark,Colombia,Refugees (incl. refugee-like situations),31
2000,Denmark,Colombia,Asylum-seekers,7
2000,Ecuador,Colombia,Refugees (incl. refugee-like situations),1374
2000,Ecuador,Colombia,Asylum-seekers,102
2000,Ecuador,Colombia,Returned refugees,36
2000,France,Colombia,Refugees (incl. refugee-like situations),245
2000,Germany,Colombia,Asylum-seekers,81
2000,Guatemala,Colombia,Asylum-seekers,2
2000,Guatemala,Colombia,Returned refugees,2
2000,Iran (Islamic Rep. of),Colombia,Returned refugees,1
2000,Israel,Colombia,Refugees (incl. refugee-like situations),2
2000,Israel,Colombia,Asylum-seekers,2
2000,Italy,Colombia,Refugees (incl. refugee-like situations),23
2000,Mexico,Colombia,Refugees (incl. refugee-like situations),61
2000,Mexico,Colombia,Asylum-seekers,1
2000,Netherlands,Colombia,Refugees (incl. refugee-like situations),22
2000,Netherlands,Colombia,Asylum-seekers,26
2000,Nicaragua,Colombia,Returned refugees,1
2000,Norway,Colombia,Refugees (incl. refugee-like situations),194
2000,Panama,Colombia,Refugees (incl. refugee-like situations),711
2000,Panama,Colombia,Asylum-seekers,52
2000,Panama,Colombia,Returned refugees,253
2000,Paraguay,Colombia,Asylum-seekers,1
2000,Peru,Colombia,Refugees (incl. refugee-like situations),4
2000,Peru,Colombia,Returned refugees,1
2000,Portugal,Colombia,Refugees (incl. refugee-like situations),2
2000,Spain,Colombia,Refugees (incl. refugee-like situations),345
2000,Sweden,Colombia,Refugees (incl. refugee-like situations),622
2000,Switzerland,Colombia,Refugees (incl. refugee-like situations),157
2000,Switzerland,Colombia,Asylum-seekers,48
2000,United Kingdom,Colombia,Refugees (incl. refugee-like situations),870
2000,United States of America,Colombia,Refugees (incl. refugee-like situations),2614
2000,United States of America,Colombia,Asylum-seekers,2489
2000,Uruguay,Colombia,Refugees (incl. refugee-like situations),17
2000,Uruguay,Colombia,Returned refugees,1
2000,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),34
2000,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,72
2001,Argentina,Colombia,Refugees (incl. refugee-like situations),22
2001,Argentina,Colombia,Asylum-seekers,39
2001,Australia,Colombia,Refugees (incl. refugee-like situations),235
2001,Australia,Colombia,Asylum-seekers,132
2001,Austria,Colombia,Refugees (incl. refugee-like situations),26
2001,Belgium,Colombia,Refugees (incl. refugee-like situations),62
2001,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),3
2001,Bolivia (Plurinational State of),Colombia,Asylum-seekers,1
2001,Brazil,Colombia,Refugees (incl. refugee-like situations),26
2001,Brazil,Colombia,Asylum-seekers,23
2001,Bulgaria,Colombia,Asylum-seekers,1
2001,Canada,Colombia,Refugees (incl. refugee-like situations),2339
2001,Canada,Colombia,Asylum-seekers,1823
2001,Chile,Colombia,Refugees (incl. refugee-like situations),51
2001,Chile,Colombia,Asylum-seekers,17
2001,Chile,Colombia,Returned refugees,2
2001,Colombia,Colombia,Internally displaced persons,720000
2001,Costa Rica,Colombia,Refugees (incl. refugee-like situations),3085
2001,Costa Rica,Colombia,Asylum-seekers,2411
2001,Costa Rica,Colombia,Returned refugees,8
2001,Denmark,Colombia,Refugees (incl. refugee-like situations),8
2001,Denmark,Colombia,Asylum-seekers,5
2001,Ecuador,Colombia,Refugees (incl. refugee-like situations),1614
2001,Ecuador,Colombia,Asylum-seekers,2403
2001,Ecuador,Colombia,Returned refugees,84
2001,El Salvador,Colombia,Refugees (incl. refugee-like situations),13
2001,El Salvador,Colombia,Asylum-seekers,5
2001,Finland,Colombia,Refugees (incl. refugee-like situations),2
2001,France,Colombia,Refugees (incl. refugee-like situations),253
2001,Germany,Colombia,Asylum-seekers,87
2001,Guatemala,Colombia,Refugees (incl. refugee-like situations),2
2001,Guatemala,Colombia,Returned refugees,1
2001,Honduras,Colombia,Refugees (incl. refugee-like situations),1
2001,Honduras,Colombia,Asylum-seekers,3
2001,Israel,Colombia,Refugees (incl. refugee-like situations),7
2001,Israel,Colombia,Asylum-seekers,15
2001,Italy,Colombia,Refugees (incl. refugee-like situations),69
2001,Mexico,Colombia,Refugees (incl. refugee-like situations),94
2001,Mexico,Colombia,Asylum-seekers,4
2001,Netherlands,Colombia,Refugees (incl. refugee-like situations),31
2001,Netherlands,Colombia,Asylum-seekers,43
2001,New Zealand,Colombia,Refugees (incl. refugee-like situations),5
2001,Nicaragua,Colombia,Asylum-seekers,2
2001,Norway,Colombia,Refugees (incl. refugee-like situations),203
2001,Panama,Colombia,Refugees (incl. refugee-like situations),881
2001,Panama,Colombia,Asylum-seekers,25
2001,Panama,Colombia,Returned refugees,67
2001,Peru,Colombia,Refugees (incl. refugee-like situations),4
2001,Peru,Colombia,Asylum-seekers,44
2001,Portugal,Colombia,Refugees (incl. refugee-like situations),4
2001,Spain,Colombia,Refugees (incl. refugee-like situations),490
2001,Sweden,Colombia,Refugees (incl. refugee-like situations),605
2001,Switzerland,Colombia,Refugees (incl. refugee-like situations),186
2001,Switzerland,Colombia,Asylum-seekers,45
2001,United Kingdom,Colombia,Refugees (incl. refugee-like situations),915
2001,United States of America,Colombia,Refugees (incl. refugee-like situations),6663
2001,United States of America,Colombia,Asylum-seekers,8038
2001,Uruguay,Colombia,Refugees (incl. refugee-like situations),18
2001,Uruguay,Colombia,Asylum-seekers,1
2001,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),21
2001,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,303
2002,Argentina,Colombia,Refugees (incl. refugee-like situations),17
2002,Argentina,Colombia,Asylum-seekers,49
2002,Argentina,Colombia,Returned refugees,5
2002,Australia,Colombia,Refugees (incl. refugee-like situations),251
2002,Australia,Colombia,Asylum-seekers,48
2002,Austria,Colombia,Refugees (incl. refugee-like situations),24
2002,Belgium,Colombia,Refugees (incl. refugee-like situations),40
2002,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),3
2002,Bolivia (Plurinational State of),Colombia,Asylum-seekers,9
2002,Brazil,Colombia,Refugees (incl. refugee-like situations),63
2002,Brazil,Colombia,Asylum-seekers,42
2002,Bulgaria,Colombia,Asylum-seekers,1
2002,Canada,Colombia,Refugees (incl. refugee-like situations),4051
2002,Canada,Colombia,Asylum-seekers,3148
2002,Chile,Colombia,Refugees (incl. refugee-like situations),72
2002,Chile,Colombia,Asylum-seekers,4
2002,Chile,Colombia,Returned refugees,9
2002,"China, Hong Kong SAR",Colombia,Refugees (incl. refugee-like situations),1
2002,Colombia,Colombia,Internally displaced persons,950000
2002,Costa Rica,Colombia,Refugees (incl. refugee-like situations),7326
2002,Cuba,Colombia,Refugees (incl. refugee-like situations),3
2002,Denmark,Colombia,Refugees (incl. refugee-like situations),8
2002,Denmark,Colombia,Asylum-seekers,4
2002,Ecuador,Colombia,Refugees (incl. refugee-like situations),3122
2002,Ecuador,Colombia,Asylum-seekers,2618
2002,Ecuador,Colombia,Returned refugees,7
2002,El Salvador,Colombia,Refugees (incl. refugee-like situations),18
2002,El Salvador,Colombia,Asylum-seekers,3
2002,Finland,Colombia,Refugees (incl. refugee-like situations),12
2002,France,Colombia,Refugees (incl. refugee-like situations),264
2002,Germany,Colombia,Refugees (incl. refugee-like situations),236
2002,Germany,Colombia,Asylum-seekers,74
2002,Guatemala,Colombia,Refugees (incl. refugee-like situations),2
2002,Guatemala,Colombia,Asylum-seekers,7
2002,Honduras,Colombia,Refugees (incl. refugee-like situations),2
2002,Israel,Colombia,Refugees (incl. refugee-like situations),7
2002,Israel,Colombia,Asylum-seekers,15
2002,Italy,Colombia,Refugees (incl. refugee-like situations),103
2002,Mexico,Colombia,Refugees (incl. refugee-like situations),114
2002,Mexico,Colombia,Asylum-seekers,10
2002,Netherlands,Colombia,Refugees (incl. refugee-like situations),35
2002,Netherlands,Colombia,Asylum-seekers,44
2002,New Zealand,Colombia,Refugees (incl. refugee-like situations),21
2002,Nicaragua,Colombia,Asylum-seekers,8
2002,Norway,Colombia,Refugees (incl. refugee-like situations),210
2002,Panama,Colombia,Refugees (incl. refugee-like situations),989
2002,Panama,Colombia,Asylum-seekers,54
2002,Panama,Colombia,Others of concern,93
2002,Peru,Colombia,Refugees (incl. refugee-like situations),5
2002,Peru,Colombia,Asylum-seekers,92
2002,Portugal,Colombia,Refugees (incl. refugee-like situations),6
2002,Spain,Colombia,Refugees (incl. refugee-like situations),537
2002,Sweden,Colombia,Refugees (incl. refugee-like situations),563
2002,Sweden,Colombia,Asylum-seekers,142
2002,Switzerland,Colombia,Refugees (incl. refugee-like situations),201
2002,Switzerland,Colombia,Asylum-seekers,34
2002,United Kingdom,Colombia,Refugees (incl. refugee-like situations),1140
2002,United States of America,Colombia,Refugees (incl. refugee-like situations),11135
2002,United States of America,Colombia,Asylum-seekers,14504
2002,Uruguay,Colombia,Refugees (incl. refugee-like situations),23
2002,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),21
2002,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,1008
2002,Venezuela (Bolivarian Republic of),Colombia,Others of concern,50000
2003,Argentina,Colombia,Refugees (incl. refugee-like situations),18
2003,Argentina,Colombia,Asylum-seekers,44
2003,Australia,Colombia,Refugees (incl. refugee-like situations),212
2003,Australia,Colombia,Asylum-seekers,16
2003,Austria,Colombia,Refugees (incl. refugee-like situations),24
2003,Belgium,Colombia,Refugees (incl. refugee-like situations),19
2003,Belgium,Colombia,Asylum-seekers,34
2003,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),13
2003,Brazil,Colombia,Refugees (incl. refugee-like situations),88
2003,Brazil,Colombia,Asylum-seekers,26
2003,Bulgaria,Colombia,Asylum-seekers,1
2003,Canada,Colombia,Refugees (incl. refugee-like situations),6689
2003,Canada,Colombia,Asylum-seekers,2822
2003,Chile,Colombia,Refugees (incl. refugee-like situations),99
2003,Chile,Colombia,Asylum-seekers,38
2003,"China, Hong Kong SAR",Colombia,Refugees (incl. refugee-like situations),1
2003,Colombia,Colombia,Internally displaced persons,1244072
2003,Costa Rica,Colombia,Refugees (incl. refugee-like situations),8266
2003,Cuba,Colombia,Refugees (incl. refugee-like situations),3
2003,Denmark,Colombia,Refugees (incl. refugee-like situations),8
2003,Ecuador,Colombia,Refugees (incl. refugee-like situations),6248
2003,Ecuador,Colombia,Asylum-seekers,2526
2003,Ecuador,Colombia,Returned refugees,4
2003,El Salvador,Colombia,Refugees (incl. refugee-like situations),16
2003,El Salvador,Colombia,Asylum-seekers,3
2003,Finland,Colombia,Refugees (incl. refugee-like situations),12
2003,France,Colombia,Refugees (incl. refugee-like situations),262
2003,Germany,Colombia,Refugees (incl. refugee-like situations),214
2003,Germany,Colombia,Asylum-seekers,9
2003,Guatemala,Colombia,Refugees (incl. refugee-like situations),2
2003,Honduras,Colombia,Refugees (incl. refugee-like situations),1
2003,Ireland,Colombia,Refugees (incl. refugee-like situations),1
2003,Israel,Colombia,Refugees (incl. refugee-like situations),7
2003,Italy,Colombia,Refugees (incl. refugee-like situations),114
2003,Japan,Colombia,Asylum-seekers,1
2003,Mexico,Colombia,Refugees (incl. refugee-like situations),48
2003,Mexico,Colombia,Asylum-seekers,9
2003,Mexico,Colombia,Returned refugees,5
2003,Netherlands,Colombia,Refugees (incl. refugee-like situations),85
2003,Netherlands,Colombia,Asylum-seekers,30
2003,New Zealand,Colombia,Refugees (incl. refugee-like situations),25
2003,New Zealand,Colombia,Asylum-seekers,7
2003,Nicaragua,Colombia,Asylum-seekers,9
2003,Norway,Colombia,Refugees (incl. refugee-like situations),205
2003,Panama,Colombia,Refugees (incl. refugee-like situations),860
2003,Panama,Colombia,Asylum-seekers,67
2003,Panama,Colombia,Returned refugees,90
2003,Panama,Colombia,Others of concern,301
2003,Peru,Colombia,Refugees (incl. refugee-like situations),24
2003,Peru,Colombia,Asylum-seekers,125
2003,Portugal,Colombia,Refugees (incl. refugee-like situations),10
2003,Romania,Colombia,Asylum-seekers,1
2003,Spain,Colombia,Refugees (incl. refugee-like situations),680
2003,Sweden,Colombia,Refugees (incl. refugee-like situations),572
2003,Sweden,Colombia,Asylum-seekers,132
2003,Switzerland,Colombia,Refugees (incl. refugee-like situations),220
2003,Switzerland,Colombia,Asylum-seekers,8
2003,United Kingdom,Colombia,Refugees (incl. refugee-like situations),1317
2003,United States of America,Colombia,Refugees (incl. refugee-like situations),11590
2003,United States of America,Colombia,Asylum-seekers,14759
2003,Uruguay,Colombia,Refugees (incl. refugee-like situations),21
2003,Uruguay,Colombia,Asylum-seekers,4
2003,Venezuela (Bolivarian Republic of),Colombia,Refugees (incl. refugee-like situations),21
2003,Venezuela (Bolivarian Republic of),Colombia,Asylum-seekers,2270
2003,Venezuela (Bolivarian Republic of),Colombia,Others of concern,26192
2004,Argentina,Colombia,Refugees (incl. refugee-like situations),34
2004,Argentina,Colombia,Asylum-seekers,57
2004,Australia,Colombia,Refugees (incl. refugee-like situations),165
2004,Austria,Colombia,Refugees (incl. refugee-like situations),24
2004,Belgium,Colombia,Refugees (incl. refugee-like situations),44
2004,Belgium,Colombia,Asylum-seekers,43
2004,Bolivia (Plurinational State of),Colombia,Refugees (incl. refugee-like situations),13
2004,Bolivia (Plurinational State of),Colombia,Asylum-seekers,13
2004,Brazil,Colombia,Refugees (incl. refugee-like situations),132
2004,Brazil,Colombia,Asylum-seekers,8
2004,Bulgaria,Colombia,Asylum-seekers,1
2004,Canada,Colombia,Refugees (incl. refugee-like situations),9441
2004,Canada,Colombia,Asylum-seekers,3271
2004,Chile,Colombia,Refugees (incl. refugee-like situations),189
2004,Chile,Colombia,Asylum-seekers,67
2004,"China, Hong Kong SAR",Colombia,Returned refugees,1
2004,Colombia,Colombia,Internally displaced persons,2000000
2004,Costa Rica,Colombia,Refugees (incl. refugee-like situations),8750
2004,Cuba,Colombia,Refugees (incl. refugee-like situations),3
2004,Cyprus,Colombia,Asylum-seekers,1
2004,Denmark,Colombia,Refugees (incl. refugee-like situations),11
2004,Ecuador,Colombia,Refugees (incl. refugee-like situations),8270
2004,Ecuador,Colombia,Asylum-seekers,1553
2004,Ecuador,Colombia,Returned refugees,3
2004,El Salvador,Colombia,Refugees (incl. refugee-like situations),6
2004,El Salvador,Colombia,Asylum-seekers,1
2004,Finland,Colombia,Refugees (incl. refugee-like situations),12
2004,France,Colombia,Refugees (incl. refugee-like situations),286
2004,Germany,Colombia,Refugees (incl. refugee-like situations),199
2004,Germany,Colombia,Asylum-seekers,10
2004,Guatemala,Colombia,Refugees (incl. refugee-like situations),1
2004,Honduras,Colombia,Refugees (incl. refugee-like situations),2
2004,Ireland,Colombia,Refugees (incl. refugee-like situations),1
2004,Ireland,Colombia,Asylum-seekers,2
2004,Israel,Colombia,Refugees (incl. refugee-like situations),1
2004,Italy,Colombia,Refugees (incl. refugee-like situations),120
2004,Mexico,Colombia,Refugees (incl. refugee-like situations),55
2004,Mexico,Colombia,Asylum-seekers,8
2004,Mexico,Colombia,Returned refugees,3
2004,Netherlands,Colombia,Refugees (incl. refugee-like situations),110
2004,Netherlands,Colombia,Asylum-seekers,97
2004,New Zealand,Colombia,Refugees (incl. refugee-like situations),30
2004,New Zealand,Colombia,Asylum-seekers,3
2004,Nicaragua,Colombia,Refugees (incl. refugee-like situations),8
2004,Norway,Colombia,Refugees (incl. refugee-like situations),213
2004,Panama,Colombia,Refugees (incl. refugee-like situations),1022
2004,Panama,Colombia,Asylum-seekers,245
2004,Panama,Colombia,Returned refugees,50
2004,Paraguay,Colombia,Refugees (incl. refugee-like situations),3
2004,Paraguay,Colombia,Asylum-seekers,1
2004,Peru,Colombia,Refugees (incl. refugee-like situations),66
2004,Peru,Colombia,Asylum-seekers,191
2004,Portugal,Colombia,Refugees (incl. refugee-like situations),11
2004,Romania,Colombia,Asylum-seekers,1
2004,Spain,Colombia,Refugees (incl. refugee-like situations),820
