Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-65.56,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2007,0,12/31/12
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,500000,9/30/16,9/30/16,12/31/20,,528805,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,11/22/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,90118.43,9/30/13,2013,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2011,2012,9/30/13
U.S. Agency for International Development,National NGO,,620408971,Direct Appropriation,Private Sector Roadmap,Venezuela,Finalisation,291192,8/1/17,8/1/17,9/30/18,,82164.06,12/31/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,12/31/17
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,1000,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
Department of State,,,Information Redacted,,Strengthening Opportunities and Pro,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,353407,4/9/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,0,12/5/19
U.S. Agency for International Development,Government,United States,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,161805,3/31/19,2019,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,3/31/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,1299459.23,,10/1/13,9/30/19,,17978.57,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/12,9/30/15,,-2810.83,9/30/14,2014,4,Disbursement,Standard grant,Project-type interventions,Untied,Legislatures and political parties,"Democracy, Human Rights, and Governance",2010,2011,9/30/14
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/16,9/30/17,,-1836.51,3/31/17,2017,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/17
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,29090.5,12/31/12,2013,1,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,12/31/12
U.S. Agency for International Development,Multilateral,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,500000,,10/1/17,9/30/19,,117600,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,National NGO,United States,Information Redacted,Direct Appropriation,Emergency award with FFP and OFDA for South America response,Venezuela,Implementation,1188500,9/15/18,9/15/18,12/31/19,,141132.85,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Emergency food assistance,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,-8151.39,6/30/15,2015,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/15
Department of State,,,Information Redacted,,Emergency Food and Medical Assistance for Venezuel,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,470584,6/26/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2019,0,12/5/19
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-2250.55,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2003,0,12/31/12
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,1299459.23,,10/1/13,9/30/19,,54587.3,6/30/16,2016,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2015,2016,6/30/16
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions - Cooperative Agreements",Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,411110,10/26/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,4690000,4/1/14,3/31/14,9/30/20,,184150,9/30/17,2017,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,9/30/17
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,-1841.76,5/31/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Disaster prevention and preparedness,Humanitarian Assistance,2018,0,5/31/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,720000,3/31/14,2014,2,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2013,2014,3/31/14
U.S. Agency for International Development,Private Sector,,867714768,Direct Appropriation,Task order for FEWS NET FY17 activities and bridge for FEWS NET7,Venezuela,Implementation,49072233,12/5/16,12/9/11,7/1/19,,55000,9/30/16,2016,4,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,,,,Direct Appropriation,Emergency humanitarian assistance award,Venezuela,Implementation,2000000,9/25/18,9/25/18,7/30/20,,119763,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Emergency food assistance,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,3640000,4/1/14,3/31/14,9/30/20,,1958.93,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,3/31/17
U.S. Agency for International Development,Private Sector,United States,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,55184.62,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,6/30/19
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,0,9/9/13,9/9/13,10/31/15,,85000,3/31/14,2014,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,3/31/14
U.S. Agency for International Development,,,790238851,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,-1341.41,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,501,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2009,2010,6/30/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,0,,10/1/18,9/30/19,,47072,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,22386.31,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,6/30/19
U.S. Agency for International Development,Private Sector,United States,80125306,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,199412.88,,10/1/17,9/30/19,,19941.29,3/31/19,2019,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,90000,9/30/14,2014,4,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2013,2014,9/30/14
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,1050000,4/1/14,3/31/14,9/30/20,,450000,6/30/16,2016,3,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,6/30/16
Inter-American Foundation,,Venezuela,,Direct Appropriation,Recycling for Sustainability,Venezuela,,0,,9/5/08,9/5/11,,31923,11/24/08,2009,1,Disbursement,Standard grant,Project-type interventions,Untied,Multisector aid,Economic Development,2009,2011,9/18/13
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,4493.6,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Political Parties,Venezuela,Finalisation,0,,10/1/12,9/30/14,,2761.83,9/30/14,2014,4,Disbursement,Standard grant,Project-type interventions,Untied,Legislatures and political parties,"Democracy, Human Rights, and Governance",2009,2010,9/30/14
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,248.37,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,6412.47,4/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,4/30/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,43999.79,9/30/18,2018,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,2100000,8/31/15,8/31/15,9/30/20,,500000,3/31/18,2018,2,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2017,2018,3/31/18
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/13,9/30/14,,123146,9/30/14,2014,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/14
U.S. Agency for International Development,Private Sector,,80125306,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,199412.88,,10/1/17,9/30/19,,49853.22,12/31/18,2019,1,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,12/31/18
U.S. Agency for International Development,Private Sector,,195773598,Direct Appropriation,P-Advisory- Promoting Excellence in Private Sector Engagement (PEPSE),Venezuela,Implementation,24500000,8/28/17,8/28/17,8/27/22,,164796,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,National NGO,United States,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,507782.89,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Pay and Benefits,Venezuela,Finalisation,0,,10/1/18,9/30/19,,547.15,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,11/22/19
U.S. Agency for International Development,,,81159512,Direct Appropriation,Staff Travel Costs,Venezuela,Implementation,0,,10/1/18,9/30/19,,9701.1,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,3/31/19
Department of State,,,Information Redacted,,Supporting Colombian refugees,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,135432.31,10/23/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,2017,7/16/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights,Venezuela,Finalisation,400000,,10/1/15,9/30/18,,2125,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/02,10/1/12,9/30/13,,23594.14,6/30/13,2013,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/13
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Supporting Democratic Institutions and Transparent Electoral Processes,Venezuela,Finalisation,0,8/5/08,8/5/08,9/30/16,,224143.2,9/30/13,2013,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,9/30/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-5296.88,6/30/13,2013,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/13
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,301006.74,6/26/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,1112000,4/1/14,3/31/14,3/31/20,,200841,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,12/31/15
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,55044,5/31/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,2112000,4/1/14,3/31/14,3/31/20,,106360.39,6/30/16,2016,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2014,2015,6/30/16
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,6000,6/18/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-8642,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2003,0,12/31/12
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,2480000,9/30/16,9/30/16,12/31/20,,100000,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,12/31/18
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,12000,10/26/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2016,2017,5/1/19
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions - Cooperative Agreements",Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,374520,5/31/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Constitutional Analysis Program,Venezuela,Implementation,555000,9/30/16,9/30/16,12/31/20,,260161.03,9/30/17,2017,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,9/30/17
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,107000,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/18,9/30/19,,1122.3,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2017,2018,11/22/19
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,389319.57,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/16,9/30/17,,1331.33,9/30/17,2017,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/17
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,5620381.89,9/15/03,9/15/03,9/30/17,,-59614.11,6/30/17,2017,3,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,6/30/17
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,2000000,9/30/16,9/30/16,9/30/20,,355000,6/30/19,2019,3,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,Sectoral Planning by Democratic Stakeholders,Venezuela,Implementation,433079.67,10/1/18,9/30/18,9/30/20,,120032.56,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/30/19
Department of State,,,Information Redacted,,From Repression to Action Transforming Youth Lead,Venezuela,,0,,,,Original - GRANTS,32000,1/17/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/5/19
U.S. Agency for International Development,,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,250000,,10/1/18,9/30/19,,-250000,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Program Support (Civil Society),Venezuela,Finalisation,0,,10/1/12,9/30/13,,-654,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Tied,Public sector policy and administrative management,"Democracy, Human Rights, and Governance",2007,0,12/31/12
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Citizen Initiatives to Support Democracy,Venezuela,Finalisation,0,1/23/12,1/23/12,9/30/16,,80000,12/31/12,2013,1,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2012,2013,12/31/12
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions",Venezuela,Finalisation,0,,,,Original-grants,7000,5/21/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,11/2/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,600000,8/31/15,8/31/15,9/30/20,,250000,12/31/15,2016,1,Commitment,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,12/31/15
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,1816.19,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/12,9/30/13,,-6810.76,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Untied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2006,0,12/31/12
Inter-American Foundation,,Venezuela,,Direct Appropriation,Recycling for Sustainability,Venezuela,,0,,9/5/08,9/5/11,,28171,4/19/10,2010,3,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2011,9/18/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,128222,3/31/16,2016,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,3/31/16
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,20000,5/8/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Citizen Initiatives to Support Democracy,Venezuela,Finalisation,0,1/23/12,1/23/12,9/30/16,,737000,6/30/13,2013,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,6/30/13
