Year,Country / territory of asylum/residence,Origin,Population type,Value
2002,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),307
2002,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,388
2002,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2002,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),24
2002,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2002,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2002,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2002,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2002,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2002,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),189
2002,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,381
2003,Australia,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2003,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2003,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),235
2003,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,732
2003,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2003,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2003,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),31
2003,Ireland,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2003,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2003,Mexico,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2003,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2003,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2003,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),9
2003,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2003,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),318
2003,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,1257
2003,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2004,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),219
2004,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,274
2004,Chile,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),9
2004,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,13
2004,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,26
2004,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2004,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),29
2004,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2004,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2004,Mexico,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2004,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Paraguay,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2004,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2004,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2004,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2004,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2004,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),984
2004,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,2369
2004,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2005,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2005,Belgium,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2005,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),346
2005,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,91
2005,Chile,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2005,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),17
2005,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,8
2005,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,26
2005,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2005,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2005,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2005,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2005,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2005,Israel,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2005,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2005,Mexico,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2005,Netherlands,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2005,Netherlands,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2005,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2005,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2005,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2005,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2005,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2005,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2005,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2201
2005,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,2687
2005,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2006,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2006,Austria,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2006,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),456
2006,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,99
2006,Chile,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2006,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),14
2006,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2006,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2006,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2006,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),134
2006,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2006,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2006,Israel,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2006,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2006,Netherlands,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2006,Norway,Venezuela (Bolivarian Republic of),Asylum-seekers,6
2006,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2006,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2006,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2006,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),20
2006,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2006,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2006,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2006,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3186
2006,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,2242
2006,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2007,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2007,Austria,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2007,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2007,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2007,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),823
2007,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,178
2007,Chile,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2007,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),17
2007,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2007,Colombia,Venezuela (Bolivarian Republic of),Returned refugees,5
2007,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),109
2007,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2007,Denmark,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2007,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2007,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,12
2007,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2007,France,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2007,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),95
2007,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2007,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2007,Ireland,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2007,Israel,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2007,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2007,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2007,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2007,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2007,Poland,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2007,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),21
2007,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2007,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2007,Trinidad and Tobago,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2007,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2007,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3989
2007,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,1531
2007,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2008,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2008,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2008,Austria,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2008,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2008,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),764
2008,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,294
2008,Chile,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2008,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),19
2008,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2008,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),153
2008,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2008,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,17
2008,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2008,France,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),8
2008,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),86
2008,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2008,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2008,Ireland,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2008,Israel,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2008,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2008,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2008,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),10
2008,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2008,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),22
2008,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2008,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,6
2008,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2008,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4718
2008,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,1179
2008,Uruguay,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2009,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2009,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2009,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2009,Austria,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2009,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2009,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2009,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),721
2009,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,405
2009,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),18
2009,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2009,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),194
2009,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2009,Denmark,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2009,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2009,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,39
2009,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2009,France,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),9
2009,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),35
2009,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,6
2009,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2009,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5
2009,Netherlands,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2009,Norway,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2009,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,7
2009,Paraguay,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2009,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),12
2009,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,7
2009,Romania,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2009,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),27
2009,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2009,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2009,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2009,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5171
2009,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,1093
2010,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2010,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2010,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2010,Australia,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2010,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2010,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),680
2010,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,354
2010,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),17
2010,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,7
2010,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),217
2010,Denmark,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2010,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2010,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,60
2010,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2010,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),24
2010,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,7
2010,Greece,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2010,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2010,Ireland,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2010,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),9
2010,Mexico,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2010,Netherlands,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2010,Norway,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2010,Panama,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2010,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2010,Paraguay,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2010,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),13
2010,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2010,Romania,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2010,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),31
2010,Spain,Venezuela (Bolivarian Republic of),Asylum-seekers,21
2010,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2010,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,6
2010,Switzerland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2010,Ukraine,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2010,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),8
2010,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),5675
2010,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,135
2011,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2011,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,7
2011,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),9
2011,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2011,Brazil,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2011,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2011,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),742
2011,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,252
2011,Chile,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2011,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),17
2011,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,5
2011,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),221
2011,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2011,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),4
2011,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,11
2011,Finland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2011,Finland,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2011,France,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2011,Germany,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),24
2011,Germany,Venezuela (Bolivarian Republic of),Asylum-seekers,6
2011,Honduras,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2011,Ireland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),2
2011,Ireland,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2011,Italy,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2011,Mexico,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),10
2011,Mexico,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2011,Netherlands,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2011,Norway,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2011,Panama,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),11
2011,Panama,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2011,Peru,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),16
2011,Peru,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2011,Spain,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),44
2011,Sweden,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6
2011,Sweden,Venezuela (Bolivarian Republic of),Asylum-seekers,3
2011,Switzerland,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2011,Switzerland,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2011,Ukraine,Venezuela (Bolivarian Republic of),Asylum-seekers,1
2011,United Kingdom,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),12
2011,United Kingdom,Venezuela (Bolivarian Republic of),Asylum-seekers,10
2011,United States of America,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),6441
2011,United States of America,Venezuela (Bolivarian Republic of),Asylum-seekers,241
2012,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2012,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2012,Australia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),9
2012,Bolivia (Plurinational State of),Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2012,Brazil,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),3
2012,Brazil,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2012,Canada,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),797
2012,Canada,Venezuela (Bolivarian Republic of),Asylum-seekers,175
2012,Chile,Venezuela (Bolivarian Republic of),Asylum-seekers,2
2012,Colombia,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),17
2012,Colombia,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2012,Costa Rica,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),220
2012,Costa Rica,Venezuela (Bolivarian Republic of),Asylum-seekers,9
2012,Ecuador,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),7
2012,Ecuador,Venezuela (Bolivarian Republic of),Asylum-seekers,2
