Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,"International tourism, receipts (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887000000,1362000000,1315000000,1216000000,1231000000,1313000000,1483000000,1237000000,1191000000,1535000000,1891000000,2370000000,2586000000,2936000000,3050000000,3441000000,3801000000,4363000000,4759000000,4887000000,5235000000,5584000000,5801000000,,
Colombia,"International tourism, number of departures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057000,929000,1071000,1093000,1098000,1235000,1381000,1277000,1177000,1405000,1553000,,2028000,2042000,2122000,2342000,2522000,3169000,3605000,3911000,3862000,3795000,4017000,,
Colombia,"International tourism, number of arrivals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399000,631000,639000,674000,546000,557000,616000,567000,625000,791000,933000,2045000,2254000,2317000,2364000,1405000,2042000,2175000,2288000,2552000,2978000,3317000,4113000,,
Colombia,Unmet need for contraception (% of married women ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,13.7,,,,,11.4,,,,,10,,,,,8.6,,,,,8,,,,,6.7,,,,
Colombia,Urban population (% of total population),46.268,47.702,49.143,50.584,52.027,52.82,53.587,54.352,55.117,55.877,56.635,57.39,58.143,58.89,59.607,60.306,61.003,61.693,62.379,63.061,63.738,64.408,65.073,65.733,66.387,67.034,67.566,68.051,68.532,69.008,69.481,69.949,70.415,70.874,71.328,71.777,72.223,72.662,73.098,73.53,73.957,74.379,74.797,75.211,75.62,76.024,76.423,76.816,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,
Colombia,Urban population,7429588,7903177,8399973,8917949,9456003,9890674,10331434,10782083,11240395,11702016,12165235,12628084,13091725,13559138,14030526,14512945,15011687,15524763,16052408,16593237,17145845,17710021,18286697,18874699,19472129,20077488,20656600,21228791,21808613,22398271,23000000,23613619,24238652,24870590,25506165,26142216,26777679,27410868,28043543,28676311,29309135,29941986,30573543,31200433,31817837,32422505,33015422,33597410,34166611,34720224,35257426,35770189,36262940,36761204,37300597,37904385,38589139,39338952,40105215,
Colombia,Urban population growth (annual %),6.262910422,6.179442421,6.096366103,5.983749586,5.85837905,4.494251504,4.359879951,4.269468254,4.162821118,4.024714846,3.882115911,3.734092879,3.605712867,3.508035995,3.417467333,3.380562527,3.378802129,3.360733093,3.342250747,3.313633323,3.27606675,3.237476736,3.204321804,3.164849238,3.116181313,3.061502628,2.843569354,2.732344545,2.694665713,2.667878487,2.651044755,2.632940593,2.612492724,2.57374318,2.523420675,2.463129125,2.401718846,2.337090974,2.28188323,2.231297185,2.182786094,2.136246728,2.087331767,2.02969458,1.959507156,1.882573596,1.812200519,1.747419503,1.679989998,1.607346074,1.535383235,1.443866328,1.368144611,1.364676682,1.456628194,1.605747272,1.790405922,1.924430923,1.929120268,
Colombia,Rural population (% of total population),53.732,52.298,50.857,49.416,47.973,47.18,46.413,45.648,44.883,44.123,43.365,42.61,41.857,41.11,40.393,39.694,38.997,38.307,37.621,36.939,36.262,35.592,34.927,34.267,33.613,32.966,32.434,31.949,31.468,30.992,30.519,30.051,29.585,29.126,28.672,28.223,27.777,27.338,26.902,26.47,26.043,25.621,25.203,24.789,24.38,23.976,23.577,23.184,22.796,22.413,22.036,21.665,21.299,20.939,20.585,20.236,19.892,19.554,19.222,
Colombia,Rural population growth (annual %),0.48879508,0.422119235,0.326209376,0.2193052,0.082059703,1.314712154,1.279169291,1.190000586,1.075066051,0.947459656,0.801825019,0.653438687,0.519176197,0.430692353,0.447799883,0.469056582,0.458134672,0.450775677,0.429408031,0.396804359,0.35846039,0.326847228,0.291056326,0.247972448,0.199181734,0.148017376,0.426133757,0.510439936,0.473361606,0.451509599,0.429991968,0.41628341,0.385653524,0.360389679,0.313859652,0.257237174,0.189387425,0.138019122,0.075934041,0.023193263,-0.022544088,-0.066412038,-0.118006603,-0.178584202,-0.246505331,-0.321237012,-0.389433619,-0.446423405,-0.511577127,-0.581902781,-0.645720315,-0.728811057,-0.80177757,-0.796373677,-0.695206404,-0.542705897,-0.35449617,-0.210390946,-0.195168134,
Colombia,Rural population,8628136,8664634,8692945,8712030,8719182,8834571,8948306,9055427,9153304,9240440,9314830,9375896,9424700,9465379,9507860,9552562,9596426,9639782,9681265,9719757,9754661,9786596,9815122,9839491,9859109,9873713,9915878,9966622,10013912,10059228,10102575,10144718,10183917,10220685,10252814,10279222,10298708,10312932,10320766,10323160,10320833,10313981,10301817,10283436,10258118,10225218,10185475,10140106,10088364,10029830,9965274,9892910,9813908,9736063,9668612,9616282,9582253,9562114,9543470,
Colombia,Completeness of death registration with cause-of-death information (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9,,,,,88.1,,,,,93.1,,,,,,98.5,,98,,,,,,,,,
Colombia,Completeness of birth registration (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,,,,,96.5,,,,,96.8,,,,
Colombia,"Completeness of birth registration, urban (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,,97.2,,,,,97.2,,,,
Colombia,"Completeness of birth registration, rural (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5,,,,,94.6,,,,,95.8,,,,
Colombia,"Completeness of birth registration, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,,,,
Colombia,"Completeness of birth registration, female (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,
Colombia,"Population, male (% of total population)",49.52271538,49.51902233,49.51583167,49.51382809,49.5137409,49.51588343,49.52090625,49.5278288,49.53367471,49.53475125,49.52909824,49.51542637,49.49560608,49.47441666,49.45817025,49.4505205,49.4526762,49.46198111,49.47391684,49.48248006,49.48382387,49.47708459,49.46383551,49.44586095,49.42559177,49.40474493,49.38376113,49.36207777,49.33917724,49.31430788,49.28712935,49.25784239,49.22730344,49.19624173,49.16555221,49.13603631,49.10763015,49.08059508,49.05629861,49.03637147,49.02176169,49.01288893,49.00902531,49.00843875,49.00885786,49.00868466,49.00770472,49.00639982,49.00476267,49.00293528,49.00118412,48.99863339,48.9954677,48.99406162,48.99756867,49.00768964,49.02569895,49.04959623,49.0742283,
Colombia,"Population, male",7952221,8204218,8463701,8729277,8999214,9271970,9547502,9825088,10101749,10373793,10638882,10895365,11144641,11391245,11641655,11900518,12169370,12446882,12731456,13020322,13311399,13604524,13900238,14197978,14497138,14797314,15097840,15398704,15700972,16006191,16315309,16628628,16945302,17263588,17581099,17896051,18207335,18515066,18820110,19123925,19427308,19730612,20032616,20330597,20620945,20901088,21171768,21434182,21687045,21928840,22159658,22374294,22575567,22780900,23013770,23288781,23616362,23985775,24364709,
Colombia,"Population, female (% of total population)",50.47728462,50.48097767,50.48416833,50.48617191,50.4862591,50.48411657,50.47909375,50.4721712,50.46632529,50.46524875,50.47090176,50.48457363,50.50439392,50.52558334,50.54182975,50.5494795,50.5473238,50.53801889,50.52608316,50.51751994,50.51617613,50.52291541,50.53616449,50.55413905,50.57440823,50.59525507,50.61623887,50.63792223,50.66082276,50.68569212,50.71287065,50.74215761,50.77269656,50.80375827,50.83444779,50.86396369,50.89236985,50.91940492,50.94370139,50.96362853,50.97823831,50.98711107,50.99097469,50.99156125,50.99114214,50.99131534,50.99229528,50.99360018,50.99523733,50.99706472,50.99881588,51.00136661,51.0045323,51.00593838,51.00243133,50.99231036,50.97430105,50.95040377,50.9257717,
Colombia,"Population, female",8105503,8363593,8629217,8900702,9175971,9453275,9732238,10012422,10291950,10568663,10841183,11108615,11371784,11633272,11896731,12164989,12438743,12717663,13002217,13292672,13589107,13892093,14201581,14516212,14834100,15153887,15474638,15796709,16121553,16451308,16787266,17129709,17477267,17827687,18177880,18525387,18869052,19208734,19544199,19875546,20202660,20525355,20842744,21153272,21455010,21746635,22029129,22303334,22567930,22821214,23063042,23288805,23501281,23716367,23955439,24231886,24555030,24915291,25283976,
Colombia,"Population, total",16057724,16567811,17092918,17629979,18175185,18725245,19279740,19837510,20393699,20942456,21480065,22003980,22516425,23024517,23538386,24065507,24608113,25164545,25733673,26312994,26900506,27496617,28101819,28714190,29331238,29951201,30572478,31195413,31822525,32457499,33102575,33758337,34422569,35091275,35758979,36421438,37076387,37723800,38364309,38999471,39629968,40255967,40875360,41483869,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,
Colombia,Technicians in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Researchers in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33359,57.29003,68.52767,88.48299,,,
Colombia,Population growth (annual %),3.118984707,3.127173658,3.120250918,3.093657958,3.045639693,2.981541125,2.918219018,2.851978633,2.765139064,2.655250546,2.534680965,2.409805038,2.30216968,2.231456183,2.207293061,2.214703514,2.229661484,2.235987408,2.236430836,2.226251786,2.208221123,2.191788208,2.177132842,2.155711832,2.126166578,2.091633248,2.053076856,2.01708723,1.990330759,1.975713807,1.967956348,1.961633512,1.94850158,1.924009924,1.884887437,1.835615888,1.782274066,1.731089702,1.683637926,1.642050768,1.60375178,1.567264159,1.526919519,1.477721636,1.41717845,1.349744709,1.288737445,1.234496459,1.1761571,1.112485691,1.050652174,0.969133686,0.902010125,0.90829254,1.009872269,1.167245179,1.360060673,1.503387796,1.517270891,
Colombia,"Age dependency ratio, young (% of working-age population)",92.67115728,93.6623434,94.57943132,95.3177201,95.71431455,95.6866608,95.5335791,94.89769134,93.88897707,92.62204002,91.12903958,89.59649488,87.81786449,85.81037791,83.65287145,81.45014994,78.9556502,76.74259147,74.73062304,72.80371651,70.91754487,69.57925687,68.0681976,66.53711823,65.18546962,64.08376428,63.09329829,62.31158471,61.65255995,60.99139072,60.27621914,59.58566239,58.92533985,58.25072102,57.51695399,56.70286134,56.01045958,55.13472996,54.16689236,53.22462434,52.35026876,51.32633132,50.43006998,49.56916767,48.60859589,47.49325949,46.37906301,45.09803554,43.73514935,42.42262127,41.22533454,40.00585568,38.9431036,37.98903897,37.07772287,36.1924568,35.3520895,34.51865683,33.71789665,
Colombia,"Age dependency ratio, old (% of working-age population)",5.794090929,5.829805536,5.851779863,5.862075852,5.862538296,5.855273581,5.88960774,5.913550235,5.928182729,5.934338071,5.933878619,5.973438585,5.998990133,6.016508872,6.033479116,6.053912301,6.103626703,6.154216376,6.20166043,6.240565266,6.270391873,6.316721955,6.352924688,6.386646524,6.426950286,6.479403601,6.562477126,6.651968287,6.748102547,6.849905638,6.957397797,7.081186948,7.205394898,7.331466555,7.461163868,7.595910809,7.746804655,7.899214547,8.053111359,8.207437384,8.362483749,8.517365903,8.672700284,8.828753185,8.984509558,9.14131062,9.285052804,9.428148221,9.58020393,9.753632553,9.957535595,10.17864066,10.4221689,10.69463981,11.00340097,11.353186,11.66793407,12.01437383,12.38682764,
Colombia,Age dependency ratio (% of working-age population),98.46524821,99.49214894,100.4312112,101.179796,101.5768528,101.5419344,101.4231868,100.8112416,99.8171598,98.55637809,97.0629182,95.56993347,93.81685462,91.82688679,89.68635057,87.50406224,85.0592769,82.89680785,80.93228347,79.04428178,77.18793675,75.89597882,74.42112228,72.92376476,71.61241991,70.56316789,69.65577541,68.96355299,68.4006625,67.84129636,67.23361694,66.66684934,66.13073474,65.58218757,64.97811786,64.29877215,63.75726423,63.03394451,62.22000372,61.43206172,60.71275251,59.84369723,59.10277026,58.39792086,57.59310545,56.63457011,55.66411581,54.52618377,53.31535328,52.17625383,51.18287014,50.18449634,49.3652725,48.68367878,48.08112384,47.5456428,47.02002357,46.53303066,46.10472428,
Colombia,Sex ratio at birth (male births per female births),,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,1.05,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,,
Colombia,"Population ages 80 and above, male (% of male population)",0.27326974,0.285353113,0.292342558,0.294113705,0.290980936,0.282981964,0.29889503,0.311121927,0.318192361,0.319063656,0.313538584,0.328772801,0.339831433,0.346020184,0.346909379,0.342254067,0.357323492,0.367682444,0.374073535,0.377740245,0.379283922,0.401072585,0.420784102,0.437005981,0.448447259,0.454974556,0.48014153,0.500399189,0.516541236,0.52991374,0.540976676,0.573252483,0.601747906,0.625119218,0.642189661,0.653065864,0.682554586,0.707078187,0.727254024,0.743874531,0.757902266,0.794070857,0.825334004,0.852881947,0.878543679,0.903818805,0.951687081,0.996035304,1.036655802,1.073394671,1.106903365,1.164823362,1.216752237,1.26325558,1.30490834,1.342547727,1.395252991,1.44226691,1.484269277,
Colombia,"Population ages 80 and above, female (% of female population)",0.370661988,0.385264903,0.393801617,0.39642945,0.39420347,0.387717566,0.409607865,0.427209363,0.438760263,0.443187647,0.440653058,0.462703863,0.478992482,0.489724771,0.495699113,0.497460499,0.523308757,0.543865689,0.558289491,0.566710698,0.569794574,0.593488898,0.612882338,0.627581253,0.637564972,0.643458842,0.671156206,0.693600079,0.712139785,0.728823552,0.744826599,0.783720489,0.819064034,0.849398001,0.873374721,0.891317412,0.926639028,0.956403378,0.982306872,1.005949825,1.028770571,1.073867246,1.114709165,1.153008277,1.190999267,1.230511989,1.29011444,1.347139522,1.402414967,1.456513225,1.510728789,1.584876737,1.654346044,1.720438758,1.783814865,1.845452723,1.913279424,1.975801295,2.035181427,
Colombia,"Population ages 75-79, male (% of male population)",0.418524849,0.426280569,0.43203322,0.434755364,0.433593375,0.429347855,0.43056302,0.429380422,0.426916086,0.424174689,0.422234216,0.426952156,0.430422042,0.434570661,0.441320338,0.451350177,0.468652226,0.486386872,0.503249668,0.517921099,0.53052271,0.542988654,0.553235052,0.56355924,0.576265626,0.592222465,0.613028089,0.635280653,0.656386072,0.673202055,0.685007072,0.693593168,0.698523992,0.703330079,0.711644932,0.725003522,0.740426866,0.759327525,0.781711732,0.807234959,0.835597028,0.86208701,0.890313033,0.920361516,0.95203207,0.984986813,1.009684122,1.035738246,1.063187772,1.091243312,1.119538939,1.14244036,1.165966003,1.19076665,1.217140686,1.245518175,1.262109647,1.280316644,1.303983705,
Colombia,"Population ages 75-79, female (% of female population)",0.537585723,0.548938519,0.559436556,0.567741799,0.572440718,0.574065723,0.575725925,0.574396542,0.572981629,0.574301702,0.579779954,0.590244492,0.602200921,0.6147885,0.626230748,0.635997444,0.644189197,0.650001549,0.655642135,0.663154807,0.673480555,0.682230058,0.691993231,0.704529723,0.721473017,0.743175858,0.765685067,0.791728101,0.818270993,0.841009167,0.858281663,0.865017866,0.867618539,0.870881441,0.880009158,0.897195832,0.914073479,0.936865393,0.964547125,0.995751362,1.029775389,1.060020953,1.0925,1.127546497,1.165583291,1.206494484,1.237865443,1.272702213,1.309943031,1.347566348,1.384596246,1.411397195,1.438658907,1.467713342,1.500262663,1.537404063,1.56038056,1.58788027,1.621769569,
Colombia,"Population ages 70-74, male (% of male population)",0.77333161,0.763655684,0.751397054,0.739625974,0.730697066,0.725379906,0.719675383,0.715332088,0.714836467,0.720787538,0.734062094,0.751190919,0.772442868,0.795277565,0.816120935,0.833476464,0.847439451,0.856897334,0.86616187,0.880323783,0.901340205,0.921671621,0.947278608,0.973526154,0.994513812,1.008419705,1.015297552,1.017299765,1.018847685,1.025090918,1.038460449,1.053069695,1.07103432,1.09248443,1.117825456,1.147487789,1.176256712,1.209096354,1.244286098,1.279821024,1.315087058,1.345260184,1.375142349,1.40467093,1.434255386,1.464617255,1.485407219,1.509341622,1.535935465,1.564104622,1.593905466,1.618150647,1.643409761,1.674427119,1.717883005,1.777126076,1.831794305,1.898001095,1.974294627,
Colombia,"Population ages 70-74, female (% of female population)",0.96894725,0.960101373,0.947733619,0.936926204,0.932631442,0.93618369,0.936208384,0.941740264,0.950878808,0.960660958,0.969857346,0.972614323,0.975405271,0.980205994,0.988380592,1.000075134,1.007505826,1.015005746,1.025463738,1.042521696,1.067457849,1.089101941,1.11800909,1.148846861,1.174584552,1.192394055,1.198612775,1.199559832,1.200374356,1.207666965,1.224487875,1.240243264,1.26231414,1.28965707,1.32122675,1.356614035,1.386704536,1.421108604,1.458642611,1.497870951,1.538213437,1.573985417,1.610963354,1.648283854,1.685233504,1.721815495,1.746886884,1.774169886,1.80414879,1.837286132,1.874332184,1.906544504,1.942648021,1.985443084,2.039046913,2.105713109,2.163486148,2.23168254,2.311081935,
Colombia,Population ages 65 and above (% of total population),2.919448609,2.922323293,2.919595121,2.913849188,2.908339035,2.905238356,2.9239969,2.944830274,2.966803619,2.988742104,3.011159417,3.054374709,3.095184959,3.136426271,3.18076609,3.228683277,3.298200882,3.364857183,3.427614084,3.485487056,3.538836779,3.591169052,3.642290914,3.693330719,3.745037969,3.798829302,3.868113013,3.936924958,4.007171021,4.08118013,4.160286624,4.248707512,4.33718355,4.427690359,4.522517268,4.623230417,4.730663212,4.845134902,4.964314619,5.084143321,5.203372862,5.328559118,5.451005202,5.57378098,5.701080344,5.836074765,5.964799759,6.101327291,6.248691814,6.409431372,6.586417883,6.777423908,6.977638417,7.192879964,7.430658298,7.694694184,7.936288268,8.199088531,8.47804702,
Colombia,"Population ages 65 and above, total",468797,484165,499044,513711,528596,544013,563739,584181,605041,625916,646799,672084,696925,722147,748701,776999,811625,846751,882051,917136,951965,987450,1023550,1060510,1098466,1137795,1182578,1228140,1275183,1324649,1377162,1434293,1492970,1553733,1617206,1683847,1753959,1827769,1904525,1982789,2062095,2145063,2228118,2312220,2398784,2488953,2576847,2668569,2765357,2868224,2978556,3094782,3215076,3344493,3490121,3656570,3823021,4009442,4209239,
Colombia,"Population ages 65 and above, male (% of male population)",2.588259675,2.583109353,2.570353088,2.55456437,2.541388332,2.533906229,2.557098985,2.584353706,2.613240021,2.64091472,2.667112954,2.715172671,2.758966797,2.801300964,2.844964424,2.890479707,2.96178149,3.028871006,3.090715326,3.146381238,3.196335472,3.24844978,3.298425063,3.347251985,3.395222807,3.443544574,3.509045002,3.572079368,3.634825689,3.700093526,3.769411374,3.853433694,3.93635947,4.019888798,4.105778598,4.195389251,4.296279494,4.402328115,4.511541352,4.620453417,4.728107709,4.842212913,4.953072282,5.063122098,5.175665091,5.293479403,5.40635006,5.524470729,5.651530932,5.791113438,5.946450076,6.121478197,6.304912754,6.501492755,6.717375901,6.955460657,7.176974966,7.416486005,7.66841685,
Colombia,"Population ages 65 and above, male",205824,211924,217547,222995,228705,234943,244139,253915,263983,273963,283751,295828,307477,319103,331201,343982,360430,377000,393493,409669,425477,441936,458489,475242,492210,509552,529790,550054,570703,592244,614991,640773,667028,693977,721841,750809,782238,815094,849077,883612,918544,955398,992230,1029363,1067271,1106395,1144620,1184125,1225650,1269924,1317713,1369638,1423370,1481099,1545921,1619842,1694940,1778902,1868387,
Colombia,"Population ages 65 and above, female (% of female population)",3.244304051,3.25519071,3.262300246,3.266293295,3.26828591,3.269481374,3.283932211,3.298522905,3.313763675,3.330062342,3.348786138,3.387082298,3.424739087,3.464658128,3.509459278,3.559510878,3.62730557,3.693666336,3.757413641,3.817599365,3.874352901,3.926702739,3.978746314,4.031672734,4.086787628,4.145749311,4.218295496,4.292425176,4.369646996,4.451865131,4.540156427,4.632368429,4.725727697,4.82255548,4.925585653,5.03653176,5.14994076,5.27215846,5.40052347,5.530449884,5.660403695,5.79619377,5.929760887,6.064734944,6.20615913,6.357566335,6.501577389,6.655763363,6.822584687,7.003593236,7.201300991,7.407676494,7.62404755,7.857278935,8.116157884,8.405152616,8.666666069,8.952440679,9.258012843,
Colombia,"Population ages 65 and above, female",262967,272251,281511,290723,299897,309073,319600,330262,341051,351943,363048,376258,389454,403053,417511,433014,451191,469748,488547,507461,526490,545501,565045,585246,606238,628242,652766,678062,704455,732390,762168,793511,825928,859750,895367,933037,971745,1012715,1055489,1099207,1143552,1189689,1235925,1282890,1331532,1382557,1432241,1484457,1539716,1598305,1660839,1725159,1791749,1863461,1944261,2036727,2128102,2230527,2340794,
Colombia,"Population ages 65-69, male (% of male population)",1.123133476,1.107819987,1.094580255,1.086069327,1.086116956,1.096196504,1.107965552,1.128519269,1.153295107,1.176888837,1.19727806,1.208256795,1.216270454,1.225432554,1.240613772,1.263398999,1.28836632,1.317904355,1.347230254,1.370396111,1.385188635,1.382716921,1.377127301,1.373160609,1.375996111,1.387927847,1.400577831,1.419099761,1.443050695,1.471886814,1.504967176,1.533518348,1.565053252,1.598955072,1.63411855,1.669832076,1.69704133,1.726826049,1.758289498,1.789522903,1.819521357,1.840794863,1.862282896,1.885207705,1.910833956,1.940056529,1.959571637,1.983355556,2.015751893,2.062370832,2.126102307,2.196063828,2.278784754,2.373043407,2.477443869,2.590268679,2.687818023,2.795901356,2.905869242,
Colombia,"Population ages 65-69, female (% of female population)",1.367109091,1.360885916,1.361328454,1.365195842,1.36901028,1.371514395,1.362390037,1.355176735,1.351142975,1.351912035,1.35849578,1.36151962,1.368140413,1.379938863,1.399148825,1.425977802,1.452301789,1.484793353,1.518018276,1.545212163,1.563619923,1.561881842,1.555861656,1.550714897,1.553165087,1.566720556,1.582841448,1.607537164,1.638861862,1.674365447,1.712560291,1.743386809,1.776730983,1.812618969,1.850975023,1.891404482,1.922523718,1.957781085,1.995026862,2.030877746,2.063644299,2.088320155,2.111588367,2.135896316,2.164343068,2.198744367,2.226710622,2.261751742,2.3060779,2.362227531,2.431643772,2.504858058,2.588394578,2.68368375,2.793033442,2.916582721,3.029519938,3.157076574,3.289979912,
Colombia,"Population ages 60-64, male (% of male population)",1.549467469,1.558344174,1.57649709,1.598918215,1.619507924,1.635477858,1.638010122,1.638346816,1.641012533,1.652047776,1.673925888,1.695518994,1.727287272,1.762002619,1.789092395,1.803064674,1.800488357,1.786784835,1.770465494,1.762460117,1.768003366,1.772851964,1.789731688,1.815512423,1.846454616,1.880645747,1.912425883,1.947968875,1.985475677,2.022973612,2.059041982,2.085632582,2.111269542,2.136438968,2.16142347,2.186180627,2.201887316,2.221347619,2.243589556,2.266909239,2.290878504,2.309928934,2.329995127,2.357505667,2.401471048,2.466186934,2.536042098,2.62421049,2.727646977,2.841769104,2.963037606,3.083915427,3.214217133,3.344978036,3.463315615,3.562251713,3.615985398,3.649616689,3.681199371,
