Country / territory of asylum/residence,Origin,Year,Month,Value
Sweden,Venezuela (Bolivarian Republic of),2000,April,1
Sweden,Venezuela (Bolivarian Republic of),2000,August,1
Sweden,Venezuela (Bolivarian Republic of),2000,October,2
Switzerland,Venezuela (Bolivarian Republic of),2000,July,3
USA (INS/DHS),Venezuela (Bolivarian Republic of),2000,March,8
USA (INS/DHS),Venezuela (Bolivarian Republic of),2000,September,7
USA (INS/DHS),Venezuela (Bolivarian Republic of),2000,October,9
USA (EOIR),Venezuela (Bolivarian Republic of),2000,January,1
USA (EOIR),Venezuela (Bolivarian Republic of),2000,February,1
USA (EOIR),Venezuela (Bolivarian Republic of),2000,May,1
USA (EOIR),Venezuela (Bolivarian Republic of),2000,June,1
USA (EOIR),Venezuela (Bolivarian Republic of),2000,September,3
USA (EOIR),Venezuela (Bolivarian Republic of),2000,October,1
USA (EOIR),Venezuela (Bolivarian Republic of),2000,December,4
Australia,Venezuela (Bolivarian Republic of),2001,September,2
Austria,Venezuela (Bolivarian Republic of),2001,December,1
Canada,Venezuela (Bolivarian Republic of),2001,January,16
Canada,Venezuela (Bolivarian Republic of),2001,February,12
Canada,Venezuela (Bolivarian Republic of),2001,March,21
Canada,Venezuela (Bolivarian Republic of),2001,April,10
Canada,Venezuela (Bolivarian Republic of),2001,May,6
Canada,Venezuela (Bolivarian Republic of),2001,June,12
Canada,Venezuela (Bolivarian Republic of),2001,July,20
Canada,Venezuela (Bolivarian Republic of),2001,August,21
Canada,Venezuela (Bolivarian Republic of),2001,September,5
Canada,Venezuela (Bolivarian Republic of),2001,October,24
Canada,Venezuela (Bolivarian Republic of),2001,November,10
Canada,Venezuela (Bolivarian Republic of),2001,December,15
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2001,April,5
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2001,October,5
Ireland,Venezuela (Bolivarian Republic of),2001,November,1
Netherlands,Venezuela (Bolivarian Republic of),2001,March,1
Netherlands,Venezuela (Bolivarian Republic of),2001,May,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2001,January,11
USA (INS/DHS),Venezuela (Bolivarian Republic of),2001,July,14
USA (INS/DHS),Venezuela (Bolivarian Republic of),2001,September,15
USA (INS/DHS),Venezuela (Bolivarian Republic of),2001,November,9
USA (INS/DHS),Venezuela (Bolivarian Republic of),2001,December,13
USA (EOIR),Venezuela (Bolivarian Republic of),2001,January,9
USA (EOIR),Venezuela (Bolivarian Republic of),2001,March,3
USA (EOIR),Venezuela (Bolivarian Republic of),2001,April,2
USA (EOIR),Venezuela (Bolivarian Republic of),2001,May,2
USA (EOIR),Venezuela (Bolivarian Republic of),2001,July,2
USA (EOIR),Venezuela (Bolivarian Republic of),2001,August,1
USA (EOIR),Venezuela (Bolivarian Republic of),2001,September,3
USA (EOIR),Venezuela (Bolivarian Republic of),2001,October,1
USA (EOIR),Venezuela (Bolivarian Republic of),2001,November,3
USA (EOIR),Venezuela (Bolivarian Republic of),2001,December,1
Australia,Venezuela (Bolivarian Republic of),2002,April,1
Australia,Venezuela (Bolivarian Republic of),2002,August,2
Australia,Venezuela (Bolivarian Republic of),2002,November,1
Australia,Venezuela (Bolivarian Republic of),2002,December,2
Canada,Venezuela (Bolivarian Republic of),2002,January,9
Canada,Venezuela (Bolivarian Republic of),2002,February,6
Canada,Venezuela (Bolivarian Republic of),2002,March,21
Canada,Venezuela (Bolivarian Republic of),2002,April,31
Canada,Venezuela (Bolivarian Republic of),2002,May,43
Canada,Venezuela (Bolivarian Republic of),2002,June,29
Canada,Venezuela (Bolivarian Republic of),2002,July,34
Canada,Venezuela (Bolivarian Republic of),2002,August,22
Canada,Venezuela (Bolivarian Republic of),2002,September,11
Canada,Venezuela (Bolivarian Republic of),2002,October,19
Canada,Venezuela (Bolivarian Republic of),2002,November,41
Canada,Venezuela (Bolivarian Republic of),2002,December,39
Denmark,Venezuela (Bolivarian Republic of),2002,September,1
France,Venezuela (Bolivarian Republic of),2002,January,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,March,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,April,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,May,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,June,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,July,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,September,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,October,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,November,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2002,December,2
Germany,Venezuela (Bolivarian Republic of),2002,February,1
Germany,Venezuela (Bolivarian Republic of),2002,March,1
Germany,Venezuela (Bolivarian Republic of),2002,July,1
Germany,Venezuela (Bolivarian Republic of),2002,September,1
Germany,Venezuela (Bolivarian Republic of),2002,December,1
Spain,Venezuela (Bolivarian Republic of),2002,July,1
Spain,Venezuela (Bolivarian Republic of),2002,September,1
Spain,Venezuela (Bolivarian Republic of),2002,October,1
Spain,Venezuela (Bolivarian Republic of),2002,November,1
Sweden,Venezuela (Bolivarian Republic of),2002,January,2
Sweden,Venezuela (Bolivarian Republic of),2002,February,2
Sweden,Venezuela (Bolivarian Republic of),2002,April,6
Sweden,Venezuela (Bolivarian Republic of),2002,September,1
Sweden,Venezuela (Bolivarian Republic of),2002,December,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,January,15
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,February,10
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,March,11
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,April,16
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,May,36
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,June,40
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,July,31
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,August,41
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,September,22
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,October,31
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,November,35
USA (INS/DHS),Venezuela (Bolivarian Republic of),2002,December,41
USA (EOIR),Venezuela (Bolivarian Republic of),2002,February,1
USA (EOIR),Venezuela (Bolivarian Republic of),2002,March,3
USA (EOIR),Venezuela (Bolivarian Republic of),2002,April,4
USA (EOIR),Venezuela (Bolivarian Republic of),2002,May,1
USA (EOIR),Venezuela (Bolivarian Republic of),2002,August,5
USA (EOIR),Venezuela (Bolivarian Republic of),2002,September,4
USA (EOIR),Venezuela (Bolivarian Republic of),2002,October,3
USA (EOIR),Venezuela (Bolivarian Republic of),2002,November,3
USA (EOIR),Venezuela (Bolivarian Republic of),2002,December,1
Australia,Venezuela (Bolivarian Republic of),2003,April,1
Australia,Venezuela (Bolivarian Republic of),2003,August,1
Canada,Venezuela (Bolivarian Republic of),2003,January,38
Canada,Venezuela (Bolivarian Republic of),2003,February,42
Canada,Venezuela (Bolivarian Republic of),2003,March,49
Canada,Venezuela (Bolivarian Republic of),2003,April,43
Canada,Venezuela (Bolivarian Republic of),2003,May,44
Canada,Venezuela (Bolivarian Republic of),2003,June,38
Canada,Venezuela (Bolivarian Republic of),2003,July,34
Canada,Venezuela (Bolivarian Republic of),2003,August,100
Canada,Venezuela (Bolivarian Republic of),2003,September,70
Canada,Venezuela (Bolivarian Republic of),2003,October,51
Canada,Venezuela (Bolivarian Republic of),2003,November,46
Canada,Venezuela (Bolivarian Republic of),2003,December,49
Finland,Venezuela (Bolivarian Republic of),2003,September,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2003,February,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2003,March,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2003,April,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2003,May,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2003,September,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2003,October,8
Germany,Venezuela (Bolivarian Republic of),2003,February,1
Germany,Venezuela (Bolivarian Republic of),2003,August,1
Ireland,Venezuela (Bolivarian Republic of),2003,June,2
Netherlands,Venezuela (Bolivarian Republic of),2003,February,1
Netherlands,Venezuela (Bolivarian Republic of),2003,July,1
Netherlands,Venezuela (Bolivarian Republic of),2003,August,1
Spain,Venezuela (Bolivarian Republic of),2003,January,1
Spain,Venezuela (Bolivarian Republic of),2003,February,1
Spain,Venezuela (Bolivarian Republic of),2003,April,2
Spain,Venezuela (Bolivarian Republic of),2003,May,10
Spain,Venezuela (Bolivarian Republic of),2003,June,1
Spain,Venezuela (Bolivarian Republic of),2003,July,1
Spain,Venezuela (Bolivarian Republic of),2003,September,5
Spain,Venezuela (Bolivarian Republic of),2003,October,3
Spain,Venezuela (Bolivarian Republic of),2003,November,1
Spain,Venezuela (Bolivarian Republic of),2003,December,6
Slovenia,Venezuela (Bolivarian Republic of),2003,February,1
Sweden,Venezuela (Bolivarian Republic of),2003,January,1
Sweden,Venezuela (Bolivarian Republic of),2003,February,1
Sweden,Venezuela (Bolivarian Republic of),2003,March,1
Sweden,Venezuela (Bolivarian Republic of),2003,April,1
Sweden,Venezuela (Bolivarian Republic of),2003,June,1
Sweden,Venezuela (Bolivarian Republic of),2003,September,1
Sweden,Venezuela (Bolivarian Republic of),2003,October,6
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,January,47
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,February,41
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,March,92
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,April,98
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,May,91
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,June,88
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,July,101
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,August,108
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,September,118
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,October,132
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,November,112
USA (INS/DHS),Venezuela (Bolivarian Republic of),2003,December,144
USA (EOIR),Venezuela (Bolivarian Republic of),2003,January,2
USA (EOIR),Venezuela (Bolivarian Republic of),2003,February,3
USA (EOIR),Venezuela (Bolivarian Republic of),2003,March,3
USA (EOIR),Venezuela (Bolivarian Republic of),2003,April,5
USA (EOIR),Venezuela (Bolivarian Republic of),2003,May,4
USA (EOIR),Venezuela (Bolivarian Republic of),2003,June,4
USA (EOIR),Venezuela (Bolivarian Republic of),2003,July,5
USA (EOIR),Venezuela (Bolivarian Republic of),2003,August,9
USA (EOIR),Venezuela (Bolivarian Republic of),2003,September,2
USA (EOIR),Venezuela (Bolivarian Republic of),2003,October,5
USA (EOIR),Venezuela (Bolivarian Republic of),2003,November,6
USA (EOIR),Venezuela (Bolivarian Republic of),2003,December,10
Austria,Venezuela (Bolivarian Republic of),2004,June,1
Belgium,Venezuela (Bolivarian Republic of),2004,July,1
Belgium,Venezuela (Bolivarian Republic of),2004,November,1
Canada,Venezuela (Bolivarian Republic of),2004,January,20
Canada,Venezuela (Bolivarian Republic of),2004,February,24
Canada,Venezuela (Bolivarian Republic of),2004,March,27
Canada,Venezuela (Bolivarian Republic of),2004,April,20
Canada,Venezuela (Bolivarian Republic of),2004,May,18
Canada,Venezuela (Bolivarian Republic of),2004,June,27
Canada,Venezuela (Bolivarian Republic of),2004,July,22
Canada,Venezuela (Bolivarian Republic of),2004,August,22
Canada,Venezuela (Bolivarian Republic of),2004,September,13
Canada,Venezuela (Bolivarian Republic of),2004,October,18
Canada,Venezuela (Bolivarian Republic of),2004,November,18
Canada,Venezuela (Bolivarian Republic of),2004,December,47
Denmark,Venezuela (Bolivarian Republic of),2004,August,1
France,Venezuela (Bolivarian Republic of),2004,March,1
France,Venezuela (Bolivarian Republic of),2004,April,1
France,Venezuela (Bolivarian Republic of),2004,May,1
France,Venezuela (Bolivarian Republic of),2004,July,2
France,Venezuela (Bolivarian Republic of),2004,August,1
France,Venezuela (Bolivarian Republic of),2004,December,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2004,March,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2004,May,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2004,July,4
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2004,August,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2004,September,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2004,December,5
Germany,Venezuela (Bolivarian Republic of),2004,April,1
Germany,Venezuela (Bolivarian Republic of),2004,October,1
Netherlands,Venezuela (Bolivarian Republic of),2004,May,1
Netherlands,Venezuela (Bolivarian Republic of),2004,November,1
Norway,Venezuela (Bolivarian Republic of),2004,June,1
Spain,Venezuela (Bolivarian Republic of),2004,January,5
Spain,Venezuela (Bolivarian Republic of),2004,February,2
Spain,Venezuela (Bolivarian Republic of),2004,March,4
Spain,Venezuela (Bolivarian Republic of),2004,April,1
Spain,Venezuela (Bolivarian Republic of),2004,May,3
Spain,Venezuela (Bolivarian Republic of),2004,June,3
Spain,Venezuela (Bolivarian Republic of),2004,August,2
Spain,Venezuela (Bolivarian Republic of),2004,September,4
Spain,Venezuela (Bolivarian Republic of),2004,October,3
Spain,Venezuela (Bolivarian Republic of),2004,November,1
Spain,Venezuela (Bolivarian Republic of),2004,December,2
Sweden,Venezuela (Bolivarian Republic of),2004,January,5
Sweden,Venezuela (Bolivarian Republic of),2004,June,1
Sweden,Venezuela (Bolivarian Republic of),2004,August,1
Sweden,Venezuela (Bolivarian Republic of),2004,September,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,January,93
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,February,97
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,March,127
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,April,114
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,May,115
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,June,132
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,July,129
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,August,111
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,September,85
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,October,110
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,November,124
USA (INS/DHS),Venezuela (Bolivarian Republic of),2004,December,115
USA (EOIR),Venezuela (Bolivarian Republic of),2004,January,6
USA (EOIR),Venezuela (Bolivarian Republic of),2004,February,11
USA (EOIR),Venezuela (Bolivarian Republic of),2004,March,14
USA (EOIR),Venezuela (Bolivarian Republic of),2004,April,9
USA (EOIR),Venezuela (Bolivarian Republic of),2004,May,6
USA (EOIR),Venezuela (Bolivarian Republic of),2004,June,5
USA (EOIR),Venezuela (Bolivarian Republic of),2004,July,9
USA (EOIR),Venezuela (Bolivarian Republic of),2004,August,5
USA (EOIR),Venezuela (Bolivarian Republic of),2004,September,6
USA (EOIR),Venezuela (Bolivarian Republic of),2004,October,6
USA (EOIR),Venezuela (Bolivarian Republic of),2004,November,10
USA (EOIR),Venezuela (Bolivarian Republic of),2004,December,5
Belgium,Venezuela (Bolivarian Republic of),2005,May,1
Belgium,Venezuela (Bolivarian Republic of),2005,November,2
Canada,Venezuela (Bolivarian Republic of),2005,January,7
Canada,Venezuela (Bolivarian Republic of),2005,February,3
Canada,Venezuela (Bolivarian Republic of),2005,March,15
Canada,Venezuela (Bolivarian Republic of),2005,April,4
Canada,Venezuela (Bolivarian Republic of),2005,May,3
Canada,Venezuela (Bolivarian Republic of),2005,June,6
Canada,Venezuela (Bolivarian Republic of),2005,July,8
Canada,Venezuela (Bolivarian Republic of),2005,August,6
Canada,Venezuela (Bolivarian Republic of),2005,September,7
Canada,Venezuela (Bolivarian Republic of),2005,October,9
Canada,Venezuela (Bolivarian Republic of),2005,November,16
Canada,Venezuela (Bolivarian Republic of),2005,December,5
France,Venezuela (Bolivarian Republic of),2005,January,1
France,Venezuela (Bolivarian Republic of),2005,April,2
France,Venezuela (Bolivarian Republic of),2005,June,1
France,Venezuela (Bolivarian Republic of),2005,August,4
France,Venezuela (Bolivarian Republic of),2005,November,3
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,January,5
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,February,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,March,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,May,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,July,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,September,4
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,October,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2005,November,2
Ireland,Venezuela (Bolivarian Republic of),2005,May,1
Luxembourg,Venezuela (Bolivarian Republic of),2005,November,1
Netherlands,Venezuela (Bolivarian Republic of),2005,January,1
Norway,Venezuela (Bolivarian Republic of),2005,October,5
Portugal,Venezuela (Bolivarian Republic of),2005,November,1
Romania,Venezuela (Bolivarian Republic of),2005,June,1
Spain,Venezuela (Bolivarian Republic of),2005,January,1
Spain,Venezuela (Bolivarian Republic of),2005,February,4
Spain,Venezuela (Bolivarian Republic of),2005,March,2
Spain,Venezuela (Bolivarian Republic of),2005,April,3
Spain,Venezuela (Bolivarian Republic of),2005,May,3
Spain,Venezuela (Bolivarian Republic of),2005,June,1
Spain,Venezuela (Bolivarian Republic of),2005,July,2
Spain,Venezuela (Bolivarian Republic of),2005,October,2
Spain,Venezuela (Bolivarian Republic of),2005,November,1
Spain,Venezuela (Bolivarian Republic of),2005,December,3
Sweden,Venezuela (Bolivarian Republic of),2005,June,3
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,January,103
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,February,89
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,March,130
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,April,88
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,May,92
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,June,104
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,July,50
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,August,84
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,September,65
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,October,63
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,November,76
USA (INS/DHS),Venezuela (Bolivarian Republic of),2005,December,90
USA (EOIR),Venezuela (Bolivarian Republic of),2005,January,3
USA (EOIR),Venezuela (Bolivarian Republic of),2005,February,1
USA (EOIR),Venezuela (Bolivarian Republic of),2005,March,9
USA (EOIR),Venezuela (Bolivarian Republic of),2005,April,6
USA (EOIR),Venezuela (Bolivarian Republic of),2005,May,5
USA (EOIR),Venezuela (Bolivarian Republic of),2005,June,11
USA (EOIR),Venezuela (Bolivarian Republic of),2005,July,2
USA (EOIR),Venezuela (Bolivarian Republic of),2005,August,7
USA (EOIR),Venezuela (Bolivarian Republic of),2005,September,4
USA (EOIR),Venezuela (Bolivarian Republic of),2005,October,5
USA (EOIR),Venezuela (Bolivarian Republic of),2005,November,4
USA (EOIR),Venezuela (Bolivarian Republic of),2005,December,3
Canada,Venezuela (Bolivarian Republic of),2006,January,9
Canada,Venezuela (Bolivarian Republic of),2006,February,6
Canada,Venezuela (Bolivarian Republic of),2006,March,2
Canada,Venezuela (Bolivarian Republic of),2006,April,2
Canada,Venezuela (Bolivarian Republic of),2006,May,2
Canada,Venezuela (Bolivarian Republic of),2006,June,10
Canada,Venezuela (Bolivarian Republic of),2006,July,9
Canada,Venezuela (Bolivarian Republic of),2006,August,7
Canada,Venezuela (Bolivarian Republic of),2006,September,21
Canada,Venezuela (Bolivarian Republic of),2006,October,19
Canada,Venezuela (Bolivarian Republic of),2006,November,9
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2006,January,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2006,February,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2006,March,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2006,April,1
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2006,September,2
United Kingdom of Great Britain and Northern Ireland,Venezuela (Bolivarian Republic of),2006,October,2
Germany,Venezuela (Bolivarian Republic of),2006,January,1
Germany,Venezuela (Bolivarian Republic of),2006,December,1
Netherlands,Venezuela (Bolivarian Republic of),2006,January,1
Netherlands,Venezuela (Bolivarian Republic of),2006,November,1
Norway,Venezuela (Bolivarian Republic of),2006,March,1
Spain,Venezuela (Bolivarian Republic of),2006,February,2
Spain,Venezuela (Bolivarian Republic of),2006,March,2
Spain,Venezuela (Bolivarian Republic of),2006,May,1
Spain,Venezuela (Bolivarian Republic of),2006,July,7
Spain,Venezuela (Bolivarian Republic of),2006,September,3
Spain,Venezuela (Bolivarian Republic of),2006,October,1
Spain,Venezuela (Bolivarian Republic of),2006,November,2
Spain,Venezuela (Bolivarian Republic of),2006,December,2
Sweden,Venezuela (Bolivarian Republic of),2006,January,3
Sweden,Venezuela (Bolivarian Republic of),2006,February,2
Sweden,Venezuela (Bolivarian Republic of),2006,September,1
Sweden,Venezuela (Bolivarian Republic of),2006,November,1
Sweden,Venezuela (Bolivarian Republic of),2006,December,1
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,January,56
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,February,81
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,March,83
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,April,60
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,May,87
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,June,71
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,July,70
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,August,75
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,September,49
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,October,63
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,November,56
USA (INS/DHS),Venezuela (Bolivarian Republic of),2006,December,50
USA (EOIR),Venezuela (Bolivarian Republic of),2006,January,15
USA (EOIR),Venezuela (Bolivarian Republic of),2006,February,6
USA (EOIR),Venezuela (Bolivarian Republic of),2006,March,17
USA (EOIR),Venezuela (Bolivarian Republic of),2006,April,15
USA (EOIR),Venezuela (Bolivarian Republic of),2006,May,8
USA (EOIR),Venezuela (Bolivarian Republic of),2006,June,6
USA (EOIR),Venezuela (Bolivarian Republic of),2006,July,2
USA (EOIR),Venezuela (Bolivarian Republic of),2006,August,4
USA (EOIR),Venezuela (Bolivarian Republic of),2006,September,9
USA (EOIR),Venezuela (Bolivarian Republic of),2006,October,8
USA (EOIR),Venezuela (Bolivarian Republic of),2006,November,4
USA (EOIR),Venezuela (Bolivarian Republic of),2006,December,8
Australia,Venezuela (Bolivarian Republic of),2007,March,1
Canada,Venezuela (Bolivarian Republic of),2007,January,8
Canada,Venezuela (Bolivarian Republic of),2007,February,15
Canada,Venezuela (Bolivarian Republic of),2007,March,2
Canada,Venezuela (Bolivarian Republic of),2007,April,6
Canada,Venezuela (Bolivarian Republic of),2007,May,5
Canada,Venezuela (Bolivarian Republic of),2007,June,10
Canada,Venezuela (Bolivarian Republic of),2007,July,9
Canada,Venezuela (Bolivarian Republic of),2007,August,13
Canada,Venezuela (Bolivarian Republic of),2007,September,10
Canada,Venezuela (Bolivarian Republic of),2007,October,16
Canada,Venezuela (Bolivarian Republic of),2007,November,25
Canada,Venezuela (Bolivarian Republic of),2007,December,25
Denmark,Venezuela (Bolivarian Republic of),2007,May,1
France,Venezuela (Bolivarian Republic of),2007,March,1
France,Venezuela (Bolivarian Republic of),2007,April,5
France,Venezuela (Bolivarian Republic of),2007,May,1
France,Venezuela (Bolivarian Republic of),2007,June,1
